City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,kavaratti,10.5669,72.642,28.45,76,99,1.89,IN,1699734249
186,fort st. john,56.2499,-120.8529,3.94,65,75,4.63,CA,1699734250
187,usinsk,65.9939,57.5281,-4.4,92,100,4.47,RU,1699734251
188,bohlen,51.2,12.3833,6.54,86,100,0.89,DE,1699734252
189,murmashi,68.8154,32.8115,-12.77,92,40,1.0,RU,1699734253
190,cabo san lucas,22.8909,-109.9124,30.42,58,0,2.06,MX,1699734254
191,pathein,16.7833,94.7333,24.5,88,6,2.09,MM,1699734255
192,fortuna,40.5982,-124.1573,18.85,62,0,2.06,US,1699734097
193,goundi,9.3627,17.366,24.21,80,100,1.85,TD,1699734256
194,dondaicha,21.3333,74.5667,25.4,40,14,1.22,IN,1699734257
195,weno,7.4515,151.8468,26.97,94,75,3.09,FM,1699734258
196,yanam,16.7333,82.2167,24.04,79,18,1.88,IN,1699734259
197,vilhena,-12.7406,-60.1458,33.02,37,54,2.47,BR,1699733976
198,happy valley-goose bay,53.3168,-60.3315,-1.83,64,75,1.03,CA,1699734260
199,xucheng,20.35,110.1288,24.61,87,8,4.64,CN,1699734262
200,burumburum,11.3911,8.7234,25.0,22,93,2.16,NG,1699734263
201,kuanda,56.3161,116.0806,-16.96,96,88,0.44,RU,1699734264
202,kuta,-8.7233,115.1723,26.97,83,20,2.24,ID,1699734265
203,key west,24.5557,-81.7826,30.0,73,0,5.66,US,1699734133
204,evergreen,39.6333,-105.3172,13.64,22,9,2.24,US,1699734267
205,hermanus,-34.4187,19.2345,15.72,85,33,4.66,ZA,1699734268
206,kargopol',61.5071,38.9456,2.99,99,100,1.24,RU,1699734349
207,puerto armuelles,8.2833,-82.8667,28.99,84,100,3.13,PA,1699734350
208,remire-montjoly,4.9167,-52.2667,28.43,75,7,5.38,GF,1699734290
209,port hueneme,34.1478,-119.1951,31.42,40,0,5.14,US,1699734412
210,port lincoln,-34.7333,135.8667,12.45,72,98,6.66,AU,1699734328
211,filey,54.21,-0.2892,5.99,90,40,3.73,GB,1699734299
212,pisco,-13.7,-76.2167,23.03,73,75,6.17,PE,1699734415
213,antsiranana,-12.2787,49.2917,25.47,82,47,4.97,MG,1699734415
214,alofi,-19.0595,-169.9187,22.94,94,100,6.69,NU,1699734416
215,chernyshevskiy,63.0128,112.4714,-10.86,85,100,4.11,RU,1699734417
216,midelt,32.6852,-4.7451,17.03,44,5,1.44,MA,1699734418
217,zhoushan,30.0108,122.2047,15.74,80,100,6.68,CN,1699734418
218,constantia,44.1833,28.65,10.39,77,37,7.74,RO,1699734246
219,isafjordur,66.0755,-23.124,0.89,87,100,2.38,IS,1699734238
220,lompoc,34.6391,-120.4579,29.27,30,0,3.09,US,1699734421
221,vorgashor,67.5833,63.95,-6.8,96,100,3.77,RU,1699734423
222,ebon,4.582,168.6964,27.51,78,100,4.18,MH,1699734424
223,sinop,41.7711,34.8709,16.87,51,100,6.55,TR,1699734301
224,egilsstadir,65.2653,-14.3948,-8.05,93,0,2.57,IS,1699734339
225,puntarenas,9.9763,-84.8384,28.77,75,100,0.42,CR,1699734426
226,saint-pierre,-21.3393,55.4781,22.82,83,75,3.09,RE,1699734428
227,mananara,-16.1667,49.7667,23.82,90,92,2.76,MG,1699734429
228,mungwi,-10.1732,31.3694,22.5,58,95,2.45,ZM,1699734430
229,island harbour,50.724,-1.2758,9.45,87,100,3.58,GB,1699734228
230,labrador city,52.9463,-66.9114,-5.05,74,100,1.54,CA,1699734431
231,san-pedro,4.7485,-6.6363,25.65,89,33,2.6,CI,1699734322
232,nyurba,63.2842,118.3319,-9.79,89,73,3.61,RU,1699734433
233,susuman,62.7833,148.1667,-33.28,100,82,0.08,RU,1699734434
234,guerrero negro,27.9769,-114.0611,24.65,23,0,3.54,MX,1699734434
235,minas de marcona,-15.2119,-75.1103,17.71,76,64,6.73,PE,1699734436
236,kiama,-34.6833,150.8667,19.1,78,100,1.34,AU,1699734437
237,kone,-21.0595,164.8658,22.28,69,33,2.24,NC,1699734438
238,bandrele,-12.9067,45.1914,26.86,83,0,1.54,YT,1699734440
239,nova sintra,14.8667,-24.7167,22.64,71,23,5.5,CV,1699734440
240,zhezqazghan,47.7833,67.7667,4.46,89,99,6.46,KZ,1699734441
241,galesong,-5.3166,119.3661,25.01,77,62,2.78,ID,1699734442
242,praia,14.9215,-23.5087,25.3,73,20,6.69,CV,1699734442
243,solvang,34.5958,-120.1377,26.72,10,0,2.57,US,1699734443
244,jiuquan,39.7432,98.5174,-2.36,35,100,1.98,CN,1699734444
245,mandan,46.8267,-100.8896,6.32,67,0,5.66,US,1699734446
246,jiaojiang,28.6803,121.4428,15.0,93,100,3.09,CN,1699734448
247,horsham,51.064,-0.3272,6.68,97,0,1.03,GB,1699734449
248,keflavik,64.0049,-22.5624,4.24,75,75,5.66,IS,1699734450
249,laguna,38.421,-121.4238,22.23,41,0,2.57,US,1699734451
250,iwanai,42.9744,140.5089,0.96,76,100,5.83,JP,1699734452
251,kanniyakumari,8.0833,77.5667,25.2,87,100,9.87,IN,1699734453
252,tolanaro,-25.0319,46.9987,22.04,68,20,5.14,MG,1699734454
253,yakeshi,49.2833,120.7333,-25.46,100,95,1.57,CN,1699734455
254,saldanha,-33.0117,17.9442,16.03,85,0,3.73,ZA,1699734455
255,letlhakane,-21.4167,25.5833,28.45,28,49,0.35,BW,1699734456
256,lata,40.1629,-8.3327,17.82,96,94,2.7,PT,1699734238
257,argo,37.6333,22.7333,17.66,72,99,2.15,GR,1699734457
258,guiuan,11.0333,125.7247,28.3,76,16,4.11,PH,1699734458
259,port augusta,-32.5,137.7667,14.95,61,52,7.16,AU,1699734459
260,chany,55.3121,76.7647,1.89,93,100,3.01,RU,1699734460
261,sakakah,29.9697,40.2064,21.76,25,65,3.63,SA,1699734461
262,mugia,43.1041,-9.2179,18.42,92,89,9.81,ES,1699734461
263,quellon,-43.1167,-73.6167,7.25,79,96,7.75,CL,1699734462
264,nuuk,64.1835,-51.7216,-5.66,79,20,3.6,GL,1699734463
265,brownwood,31.7093,-98.9912,20.0,67,100,2.06,US,1699734464
266,qaqortoq,60.7167,-46.0333,-3.22,73,44,3.92,GL,1699734464
267,la paz,-16.5,-68.15,14.99,54,75,7.2,BO,1699734465
268,sola,-13.8833,167.55,26.24,80,98,12.87,VU,1699734466
269,bokoro,12.3807,17.0568,30.17,19,7,4.35,TD,1699734467
270,sungai penuh,-2.0833,101.3833,18.72,97,94,0.44,ID,1699734468
271,parkes,-33.1333,148.1833,24.08,51,32,1.55,AU,1699734468
272,zliten,32.4674,14.5687,21.86,73,0,3.6,LY,1699734469
273,padang,-0.9492,100.3543,23.03,90,33,1.13,ID,1699734472
274,nadym,65.5333,72.5167,-0.01,99,100,5.35,RU,1699734472
275,kenai,60.5544,-151.2583,-3.25,98,40,2.06,US,1699734473
276,birobidzhan,48.8,132.95,-15.1,93,12,2.38,RU,1699734474
277,es castell,39.8795,4.2854,16.38,94,0,2.57,ES,1699734475
278,arkalyk,50.2486,66.9114,3.75,88,68,5.39,KZ,1699734476
279,pasaje,-3.3333,-79.8167,27.84,62,64,3.34,EC,1699734476
280,kristiansund,63.1115,7.732,2.36,69,75,3.6,NO,1699734298
281,saveh,35.0213,50.3566,17.27,35,100,1.61,IR,1699734478
282,ilulissat,69.2167,-51.1,-7.99,45,100,5.14,GL,1699734479
283,sogamoso,5.7143,-72.9339,17.61,77,90,2.1,CO,1699734479
284,celestun,20.8667,-90.4,28.01,80,84,4.49,MX,1699734481
285,sao joao da barra,-21.6403,-41.0511,28.05,84,0,7.8,BR,1699734415
